Slant,StraightnessError,HorizontalSize,StartHorizontalPosition,PeakVerticalAcceleration,PeakVerticalVelocity,VerticalSize,StartVerticalPosition,Duration,StartTime,RelativePenDownDuration,NumOfStrokes,Class
1.660559,0.044362,0.818778,13.76867,260.6156,6.109772,0.845292,13.77505,1.12707,7.618925,0.618719,68.0,0
1.55738,0.048322,0.714919,11.96187,159.8911,6.615114,0.911554,11.7435,1.45666,7.420639,0.671331,59.0,1
1.759429,0.031433,0.326603,6.9395,122.4181,5.276966,0.817452,13.46494,2.99589,1.148114,0.214657,7.0,1
1.407749,0.036894,0.54397,9.112825,106.6702,6.12741,0.915144,15.03891,1.34542,0.97415,0.83835,8.0,1
1.526476,0.053973,0.527542,9.866526,154.0717,7.07651,0.947882,14.71495294,1.34542,4.209971,0.765559,34.0,1
1.423004,0.053134,1.359133,12.15422,84.77907,5.125767,0.858562,12.45361,2.17267,4.987232,0.542071,31.0,1
1.51013,0.0519,0.605963,11.93522,337.3545,7.611292,1.013173,18.27566,1.43785,7.271467,0.489945,58.0,1
1.456296,0.056768011,0.410292262,13.48957,106.7858093,5.43273975,0.6847027,23.88242,1.50612,1.7163,0.84473,10.0,1
1.636947,0.03926797,0.367326052,9.75868,133.8717703,6.264257483,0.96447128,21.88837,1.43081,1.10457,0.78285,10.0,1
1.411505,0.04223703,0.390316336,15.773,110.5772662,5.758223348,1.10855443,21.2771,1.39238,0.667225,0.684,4.0,0
1.525363,0.048540446,0.362018092,14.9779,93.18457116,5.6454059,0.96148419,18.45124545,1.96571,2.212509,0.645509091,11.0,1
1.543404,0.061032818,0.890842639,11.33550192,132.1372812,6.794066993,1.02544503,20.55549038,1.54714,7.866737,0.549978846,52.0,1
1.480347,0.055715221,0.63844858,22.11593846,444.4309998,5.857089264,0.76812883,14.74680192,1.98028,6.635598,0.624888462,52.0,1
1.331208,0.070868001,0.531190004,13.2939,67.11094282,3.718359554,0.66300605,19.92117778,1.23528,1.162256,0.728255556,9.0,1
1.6003,0.043067702,0.338146721,9.455288889,133.1955142,6.127411652,1.0010876,18.63317778,1.85522,1.556533,0.796055556,9.0,0
1.752905,0.052363083,0.366428992,7.3663,83.9060419,4.368304552,0.73554526,21.98921111,1.97417,1.432078,0.826877778,9.0,1
1.520337,0.059729137,0.468902589,16.41062222,118.8492783,3.476182714,0.90374814,20.20023333,5.50585,7.582126,0.625092593,27.0,1
1.30943,0.057275149,0.452177799,13.501975,85.75830036,4.99865735,1.1261752,20.9175375,1.51563,1.378288,0.8029375,8.0,1
1.338523,0.040373119,0.660715318,18.98747857,260.2219861,7.54896665,1.00251831,20.97826905,2.34351,8.680636,0.679252381,42.0,1
1.789254,0.064990449,0.539925325,13.70584375,120.4466164,5.982847989,0.99915929,16.00916875,1.69623,2.235581,0.55231875,16.0,0
1.402266,0.043366803,0.347856337,12.9502,63.94593275,4.832309632,1.00022177,25.12358182,4.36026,3.068764,0.736036364,11.0,1
1.557337,0.048787228,0.318191421,15.39971111,81.47824947,4.372296588,0.80644447,19.84406667,1.93044,1.443667,0.851355556,9.0,1
1.459012,0.057891717,0.651359643,22.43555,140.6886283,6.319942213,0.82315798,25.50822,1.49318,8.120797,0.594724286,70.0,0
1.669848,0.056818958,0.744924878,19.08176316,215.6287291,5.369551855,0.83128152,23.60703509,1.35519,8.053961,0.713110526,57.0,1
1.594548,0.06080598,1.47869617,10.09973684,129.6244615,7.817138894,1.42735763,17.45516316,1.85176,3.754584,0.781452632,19.0,1
1.310048,0.050949961,0.648097556,14.60021667,125.47128,6.122024844,1.16182534,19.69925833,1.78271,4.600592,0.713108333,24.0,1
1.720327,0.059183212,1.173476611,20.48001389,108.1833053,5.440835424,0.74452445,23.864075,1.52731,4.872183,0.633411111,36.0,0
1.349725,0.036109596,0.690586149,23.74779524,150.2639124,7.927235924,1.15006822,21.72546429,1.66656,5.808533,0.708561905,42.0,1
1.652971,0.035191588,0.323572707,14.4280125,73.84873982,4.774664234,1.20764488,18.8395125,4.41555,2.6692,0.8733,8.0,1
1.549772,0.054834383,0.475037318,19.79787234,87.97025885,4.411946516,0.78738956,23.03869574,2.07385,8.148885,0.516189362,47.0,1
1.479059,0.039030946,0.666415666,29.17978704,146.9646749,6.716271101,0.86463118,23.09682407,1.99747,7.930183,0.645677778,54.0,1
2.364274,0.060145585,0.520171477,14.5017125,70.44965352,3.908118704,0.62876839,19.964775,1.75207,1.27,0.6058625,8.0,0
1.615163,0.048631454,0.691310427,20.45882791,254.4685599,9.068470936,1.14447241,22.81677907,3.24783,7.148205,0.636748837,43.0,1
1.466612,0.035814735,0.800703744,27.97377111,128.7088325,7.216557361,1.08984936,21.12233333,1.93596,7.793069,0.660228889,45.0,1
