AbsoluteSize,AverageNormalizedJerkPerTrial,NumOfStrokes,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,Slant,PeakVerticalAcceleration,Score,Segment,LoopSurface,RelativeInitialSlant,Class
1.009154,70.4682,59.0,0.594474,0.457539,0.671331,1.55738,159.8911,3.0,12.67594377,0.061292,0.594474,1
0.651743,180.6423,7.0,0.750674,0.458629,0.214657,1.759429,122.4181,2.0,12.36583353,0.068777,0.750674,1
0.861338,38.3828,8.0,0.714094,0.462625,0.83835,1.407749,106.6702,3.0,12.05572329,0.035432,0.714094,1
0.904668,89.0296,34.0,0.578804,0.447535,0.765559,1.526476,154.0717,3.0,11.74561305,0.05658,0.578804,1
1.107742,185.4545,31.0,0.858327,0.553345,0.542071,1.423004,84.77907,3.0,11.4355028,0.019988,0.858327,1
0.937148,315.4543,58.0,0.658404,0.517059,0.489945,1.51013,337.3545,3.0,47.5,0.067049,0.658404,1
0.64612,183.1497,10.0,1.13811335,0.41931,0.84473,1.456296,106.7858093,3.0,0.0,0.0863531,1.13811335,1
0.77127,40.2552,10.0,0.345410228,0.42228,0.78285,1.636947,133.8717703,3.5,11.12539256,9.49e-05,0.345410228,1
0.9355,54.6784,4.0,0.671572647,0.527925,0.684,1.411505,110.5772662,3.5,10.81528232,0.00835,0.671572647,0
0.84726364,134.8527,11.0,0.898126025,0.402409091,0.645509091,1.525363,93.18457116,3.0,10.50517208,0.08451542,0.898126025,1
1.17261731,104.6299,52.0,0.681131865,0.432630769,0.549978846,1.543404,132.1372812,3.0,10.19506183,0.11057838,0.681131865,1
0.84357885,185.4544,52.0,0.546088037,0.479084615,0.624888462,1.480347,444.4309998,3.5,9.884951591,0.05668649,0.546088037,1
0.72736667,92.5837,9.0,0.640354793,0.413377778,0.728255556,1.331208,67.11094282,3.0,9.574841348,0.02312585,0.640354793,1
0.8752,212.3729,9.0,0.659517811,0.4371,0.796055556,1.6003,133.1955142,3.0,9.264731106,0.09485644,0.659517811,0
0.7156,121.4403,9.0,0.947192444,0.347422222,0.826877778,1.752905,83.9060419,2.5,8.954620863,0.06227761,0.947192444,1
0.83692963,459.5119,27.0,0.707696508,0.406644444,0.625092593,1.520337,118.8492783,3.5,8.644510621,0.03460372,0.707696508,1
1.0366375,67.398,8.0,0.843086709,0.42735,0.8029375,1.30943,85.75830036,3.0,8.334400378,0.14170033,0.843086709,1
1.04095,231.1009,42.0,0.925773902,0.450516667,0.679252381,1.338523,260.2219861,3.0,8.024290135,0.10298935,0.925773902,1
0.87148125,53.6996,16.0,0.843473964,0.4794125,0.55231875,1.789254,120.4466164,3.5,7.714179893,0.19098508,0.843473964,0
0.86995455,323.1235,11.0,1.038190448,0.446945455,0.736036364,1.402266,63.94593275,3.0,7.40406965,0.15016976,1.038190448,1
0.75368889,82.4919,9.0,0.843336647,0.366133333,0.851355556,1.557337,81.47824947,3.5,7.093959408,0.09011244,0.843336647,1
0.90501571,97.5033,70.0,0.578711927,0.43723,0.594724286,1.459012,140.6886283,3.5,6.783849165,0.04838431,0.578711927,0
0.93753158,93.5501,57.0,0.608605426,0.423892982,0.713110526,1.669848,215.6287291,3.0,6.473738922,0.06230299,0.608605426,1
1.58416316,117.1614,19.0,0.931582599,0.550563158,0.781452632,1.594548,129.6244615,3.0,6.16362868,0.74500333,0.931582599,1
1.15952917,94.0941,24.0,0.76420571,0.463808333,0.713108333,1.310048,125.47128,3.5,5.853518437,0.08472756,0.76420571,1
1.00322222,85.5768,36.0,0.701376458,0.494458333,0.633411111,1.720327,108.1833053,2.5,5.543408194,0.05828699,0.701376458,0
1.22593095,99.7945,42.0,0.612650411,0.415166667,0.708561905,1.349725,150.2639124,2.5,5.233297952,0.08942623,0.612650411,1
1.0478875,275.1963,8.0,0.965218186,0.4008875,0.8733,1.652971,73.84873982,3.5,4.923187709,0.17463563,0.965218186,1
0.76851277,302.8755,47.0,0.734178909,0.436891489,0.516189362,1.549772,87.97025885,3.0,4.613077467,0.05292746,0.734178909,1
0.85411296,197.698,54.0,0.602523772,0.403733333,0.645677778,1.479059,146.9646749,3.0,4.302967224,0.01872253,0.602523772,1
0.6339375,78.7388,8.0,0.470303609,0.3596125,0.6058625,2.364274,70.44965352,3.5,3.992856981,0.1791455,0.470303609,0
1.0898907,508.3122,43.0,0.643984514,0.402988372,0.636748837,1.615163,254.4685599,3.0,48.5,0.0452251,0.643984514,1
1.20032,158.9384,45.0,0.431636659,0.399582222,0.660228889,1.466612,128.7088325,2.5,0.0,0.08589588,0.431636659,1
