Segment,VerticalSize,PeakVerticalVelocity,Slant,RelativeInitialSlant,AbsoluteSize,Roadlength,AbsoluteyJerk,NormalizedyJerk,AverageNormalizedyJerkPerTrial,AbsoluteJerk,NormalizedJerk,Class
-958.3380561809878,-354.1091538408653,-289.9428013644259,-24.421814621093247,0.2124155254034345,-18.544588363078738,-0.08075571906682585,-0.177626740566053,-0.019627367268176127,0.03957731201702577,0.015996348743610084,0.006276092798486112,1
-889.3930659138697,610.0902621344866,-17.0920431061402,19.195317326628654,31.555297928466825,-18.89106134577273,0.13493277984689472,-0.019000544394553363,-0.0491773906969393,0.031070724373230735,0.030323780316731892,0.015644428464308635,0
-1149.7346319042915,-349.57349599736074,-202.67041366303258,13.375875172493505,-5.282835399583919,-19.14162484621768,-0.023605514391784235,0.08898688054439333,0.1893091920899637,-0.12029194851415687,-0.016519503691237468,0.01654912975764662,0
-1044.287275866227,340.04740275681195,-138.5651405722241,3.577541714686684,-20.625200951529422,4.179164057201811,-0.05163887140181422,-0.06812561591882185,-0.059483931482780146,0.015721013922853456,-0.06347617967953477,0.001965028915202887,1
-710.78427878354,1003.7553720635163,212.90071625214702,-213.09198502692803,-33.31080274335156,10.47359730469584,-0.3009459205917946,-0.13710598277645467,0.2357535195062321,0.034803833801111725,0.10780725274237651,0.007010023038562943,1
-1404.9834856294874,43.31563117117307,1976.0824320701286,123.6726095102266,268.9503248585187,-6.426898887505222,-0.1052442238671752,-0.02792177430049696,-0.14506705077014687,0.09069052817722774,0.027861677530432796,0.009077179524333963,1
-1086.0365585264221,-74.95232113641197,104.60215969084071,19.575916705486,53.35862124447937,13.364807191301951,-0.039764532302470026,0.1367612069956181,0.11969479919388903,-0.1683064786379449,0.0171963676352931,0.009599191237042783,0
-1090.978060130163,-258.7156440210168,163.6384309997799,27.881104571560847,35.23738250449519,0.0025573573025308182,-0.3959704166653982,0.0693557917006937,-0.03482022714088694,-0.20388536747056876,0.0008829814807171828,-0.022319527782107298,0
-971.2042034155313,506.71617789564766,-144.88097449488257,32.01929926362367,-1.6892509708500691,11.030014144357278,0.012225395906684535,0.22735715376332083,-0.036146364370084734,0.03259182642118173,0.013062957584272276,-0.012592516716673639,1
-1203.6624189124705,-403.74348844461423,-261.1559053207846,49.79813420586853,-15.192167241874602,6.198072888257504,0.020380105211634452,-0.0341230660449958,-0.021437147604814882,0.22319974111185178,-0.0045455461633902945,0.011980244743938119,0
-1012.2589933655222,-215.50892448860262,-343.6335889058454,-48.9798201368034,6.541556755241398,3.5591119630410777,-0.4863289443286541,-0.18314109077249377,-0.20650314877900677,-0.05667311460896863,0.017890578242801575,-0.007196476339996447,1
-883.4407161604872,217.6501676535343,864.4771285336586,-121.85330426110325,-109.92638703750984,-16.181400903428315,-0.2580762348108859,-0.1385634197941116,0.26830074969122814,0.07370396622125873,-0.011108295058802543,0.012910075706067555,1
